Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
Harlem Mania,,Comedy,128 clipping.pdf (https://dl.airtable.com/GJa2Zt1dQgW5AK5KTd0s_128%20clipping.pdf),"Moberly Monitor-Index 
(Moberly, Missouri)
23 Dec 1929, Mon ' Page 1",,1929,,,"Miller,Lyles,Quintette",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Fournoy E. Miller, Aubrey Lyles, Norman Quintette",,,,
Heart of Dixie,Hearts in Dixie,,out (48).pdf (https://dl.airtable.com/gBgKhwt1SuqA8NCw7tb1_out%20(48).pdf),"See GPJ Collection, Box 3, Billbrew, Mrs. A.C. folder. --MP

""Display Ad 49 -- no Title."" The New York Amsterdam News (1922-1938), May 22, 1929.",,1929,,,"Muse,Washington",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,"Clarence Muse, Mildred Washington",,,,
Hello Bill,,,,,,1929,,,Robinson,,,,,Blacks in Black and White,,,,,,Bill Robinson,,,,
Oft in the Silly Night,,Comedy,clipping_5313795.pdf (https://dl.airtable.com/otRBL7LeSkChzBkevqkv_clipping_5313795.pdf),"Sound film. The Gettysburg Times (Gettysburg, Pennsylvania), Thu, Jan 2, 1930, Page 8",Christie Film Company,1929,,,"Thompson,Williams,Criner,Hyson,Ray,Preer",Gillstrom,,,,,Cohen,,,,,"Edward Thompson, Spencer Williams, J. Lawrence Criner, Roberta Hyson, Arthur Ray, Evelyn Preer",Arvid Gillstrom,,Octavus Cohen,
Song After Sorrow,,,,"Part of Record Group 200 HF Series, Harmon Foundation Collection. National Archives Gift Collection- Richards

Unable to verify -MC
",,1929,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
St. Louis Blues,,Drama,"clipping_5276027.pdf (https://dl.airtable.com/VLswwpfCSmJ3yKGhnJi4_clipping_5276027.pdf),clipping_5276045.pdf (https://dl.airtable.com/wHDcC55Qn27dL5kPxUC8_clipping_5276045.pdf),out(19).pdf (https://dl.airtable.com/lIejSDyBQ3q6abnoZaG5_out(19).pdf),out(20).pdf (https://dl.airtable.com/qpZeceDySVuNIhfR8WvX_out(20).pdf)","Produced at Gramercy Studio of RCA Photophone, Inc.

 The Pittsburgh Courier
(Pittsburgh, Pennsylvania)
6 Jul 1929, Sat ' Page 15;  Detroit Free Press
(Detroit, Michigan)
23 Jun 1929, Sun ' Page 54; The Chicago Defender (National edition) (1921-1967) [Chicago, Ill] 14 Sep 1929: 6; Afro-American (1893-1988) [Baltimore, Md] 29 June 1929: 8
",Blackhawk Films,1929,,,"Smith,Mordecai,Washington,Howard,Lee,Hall Johnson Chorus",Murphy,Sack,Strenge,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""","Shields,Handy,Johnson ,Oschmann",,,Sack Amusement Enterprises,Alfred Sack,"Bessie Smith, Jimmy Mordecai, Isabel Washington, Shingzie Howard, Johnny Lee,  Hall Johnson Chorus",Dudley Murphy,,"Russell Shields, W.C. Handy, Rosamund Johnson , George Oschmann",Walter Strenge
The Siren of the Tropics,Siren of the Tropics,,"out (15).pdf (https://dl.airtable.com/MxldPuJiTuCb070ifTit_out%20(15).pdf),out (16).pdf (https://dl.airtable.com/B8c7xMk5QVizjPpoqrEo_out%20(16).pdf)",The Chicago Defender,,1929,,,Baker,,,,,,,,,,,Josephine Baker,,,,
The Wages of Sin,,Drama,The_Daily_News_Tue__Sep_15__1908_.pdf (https://dl.airtable.com/7VJwBpCAQqWFlNG6aiNI_The_Daily_News_Tue__Sep_15__1908_.pdf),"The Daily News (Mount Carmel, Pennsylvania), Tue, Sep 15, 1908, Page 1",Micheaux Film Corporation,1929,1929,7,"Tucker,Noisette,Birdsong,Russell,Baker,Gibbens,Snelson,Smith,Clayton,Hind,Dabney",Micheaux,Micheaux,,,"American Film Institute Catalog,Oscar Micheaux and His Circle",,,,,Oscar Micheaux,"Lorenzo Tucker, Katherine Noisette, Sylvia Birdsong, Alice B. Russell, William Baker, Bessie Gibbens, Gertrude Snelson, Ethel Smith, William Clayton, Rudolph Hind, Ardelle Dabney",Oscar Micheaux,,,
The Witching Eyes,,,,"Richards gives the date as 1930.

Unable to Verify

",Ernest Stern,1929,1929,,"Birdsong,Whitney,Tucker",Stern,Stern,,,"Slow Fade to Black,""Within Our Gates: Ethnicity in American Feature Films, 1911-1960"",""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Stern,,,,Ernest Stern,"Sylvia Birdsong, Salem Tutt Whitney, Lorenzo Tucker",Ernest Stern,,Ernest Stern,
When Men Betray,,Drama,out (55).pdf (https://dl.airtable.com/AMDpTND9Su6J9tqYA8c7_out%20(55).pdf),Display Ad 51 -- no Title. ,Micheaux Film Corporation,1929,1929,6,"Gibbens,Snelson,Tucker,Smith,Russell,Clayton,Noisette",Micheaux,Micheaux,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Bessie Gibbens, Gertrude Snelson, Lorenzo Tucker, Ethel Smith, Alice B. Russell, William Clayton, Katherine Noisette",Oscar Micheaux,,Oscar Micheaux,
A Daughter of the Congo,,Drama,"img?id=40067427&width=557&height=2016&crop=3271_4378_850_3133&rotation=0&brightness=0&contrast=0&invert=0&ts=1463079830&h=faa3172216fbb25453af7e9a8b7efbea (https://dl.airtable.com/t8FRgO72RcOIkSAsDzMW_img%3Fid%3D40067427%26width%3D557%26height%3D2016%26crop%3D3271_4378_850_3133%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463079830%26h%3Dfaa3172216fbb25453af7e9a8b7efbea),img?id=40862968&width=557&height=950&crop=3904_725_642_1115&rotation=0&brightness=0&contrast=0&invert=0&ts=1463079937&h=fec5b80fe520bcb3fea2afca137e5b47 (https://dl.airtable.com/W57ZnmppTNGSPfh0zgdj_img%3Fid%3D40862968%26width%3D557%26height%3D950%26crop%3D3904_725_642_1115%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463079937%26h%3Dfec5b80fe520bcb3fea2afca137e5b47)","Some sound. Cast list from Richards and Musser et al.. --MP

The Pittsburgh Courier, 12 Apr 1930, Sat, Page 19

The New York Age, 5 Apr 1930, Sat, Page 6",Micheaux Film Corporation,1930,1930,9,"Byrd,Noisette,Williams,Redd,Tucker,Irving,Russell,Moore,Snelson,Verwayen,Robinson,Whitney,Guilford,Wilson,Harding,Dawson",Micheaux,Burton,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Downing,,,,Russell A. Burton,"Joe Byrd, Katherine Noisette, Willhelmina Williams, Clarence Redd, Lorenzo Tucker, Roland Irving, Alice B. Russell, Charles Moore, Gertrude Snelson, Percy Verwayen, Mademe Robinson, Salem Tutt Whitney, Willor Lee Guilford, Speedy Wilson, Daisy Harding, Rudolph Dawson",Oscar Micheaux,,Henry Francis Downing,
Easy Street,,Drama,out (42).pdf (https://dl.airtable.com/qTFXz7zITy2tXtJWOU3p_out%20(42).pdf),"""Display Ad 9 -- no Title."" Afro-American (1893-1988), Oct 25, 1930.",Micheaux Film Corporation,1930,1930,5,"Harrison,Tucker,Guilford,Clayton,Russell",Micheaux,Burton,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,Micheaux Film Corporation,Russell A. Burton,"Richard B. Harrison, Lorenzo Tucker, Willor Lee Guilford, William Clayton, Alice B. Russell",Oscar Micheaux,,Oscar Micheaux,
Georgia Rose,,,out.pdf (https://dl.airtable.com/oGOZ0VfTByiopLJ9vov3_out.pdf),"The Chicago Defender (Chicago, IL); Aug 2, 1930; pg. 5","Rosebud Film Corporation,Aristo Film Company",1930,,,"Brooks,Preer,Wilson,Hyson,Anderson,Thompson,King,Williams,Johnson,Dyer,Washington",Grant,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Clarence Brooks, Evelyn Preer, Irene Wilson, Roberta Hyson, Allegretti Anderson, Edward Thompson, Webb King, Spencer Williams, Dora Jean Johnson, E.C Dyer, Fred C. Washington",H.C. Grant,,,
Pickin' Cotton,,Actuality,,Unable to Verify,Tiffany Film Company,1930,,,Forbes Randolf Kentuck Jubilee Singers,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,, Forbes Randolf Kentuck Jubilee Singers,,,,
Pythian Conclave and League Parley,,"Actuality,Newsreel",,,Madam C.J. Walker Manufacturing Company,1930,,,,,Walker,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,C.J. Walker,,,,,
Slave Days,,,,Unable to verify- MC,Tiffany Film Company,1930,,,Forbes Randolf Kentuck Jubilee Singers,Forbes,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,, Forbes Randolf Kentuck Jubilee Singers,Randolpf  Forbes,,,
Barber of Darktown,,,,unable to verify -MC,L-Ko,,,,,,,,,Slow Fade to Black,,,,,,,,,,
Bargain with Bullets,,,out.pdf (https://dl.airtable.com/wPOEOzrJTBuqYpasseqD_out.pdf),"The New York Amsterdam News (1922-1938) [New York, N.Y] 04 Dec 1937: 19. -MC
",Million Dollar Productions,,,,"Fenderson,Cooper,Turnham,Harris",,,,,,,,,Million Dollar Productions,,"Reginald Fenderson, Ralph Cooper, Frances Turnham, Theresa Harris",,,,
Boy What a Girl,,,"clipping_5211371.pdf (https://dl.airtable.com/WDbccCtgQCGwFGHhKIMa_clipping_5211371.pdf),out (4).pdf (https://dl.airtable.com/UiXIjBeZTa6m20mBDOhm_out%20(4).pdf)","Verification: Sign marva louis to star in film, 'boy, what A girl'. (1946, Aug 31). New York Amsterdam News (1943-1961) Retrieved from http://search.proquest.com/docview/226041072?accountid=14512 - SN

��Box 4, Boy What a Girl folder, GPJ collection

Cumberland Evening Times (Cumberland, Maryland), Sat, Sep 7, 1946, Page 3 --MP",Herald Pictures,,,,"Moore,Smith,Williams,Jackson,Guyse,Lewis,Mays-Sibil,Patterson,Stewart,Watson,Cartlett,Cornell",,,,,George P. Johnson Negro Film Collection,,,,,,"Tim Moore, Elwood Smith, Duke Williams, Al Jackson, Sheila Guyse, Warren Lewis, Betti Mays-Sibil, Warren Patterson, Siam Stewart, Deck Watson, Big Sid Cartlett, Ann Cornell",,,,
Democracy Paid For,,"Actuality,Drama","clipping_5267242.pdf (https://dl.airtable.com/a8z47sugR7uEv1SdWsLA_clipping_5267242.pdf),out (33).pdf (https://dl.airtable.com/yFPbSaaNRG6kXdl3DExt_out%20(33).pdf)","Box 53, F28, GPJ Collection

The New York Age (New York, New York), Sat, Sep 20, 1919, Page 6.

Frenchmen produce race play. (1919, Sep 06). The Chicago Defender (Big Weekend Edition) (1905-1966).",Buchanan & Franklin Cinema Corporation,,9/10/1919,,,,Buchanan,,,George P. Johnson Negro Film Collection,,,,,Cleveland Buchanan,,,,,
Exit,,,,"UCLA Film & Television Archive tentatively dates this film as 1915, but if it is indeed a Maurice film, it probably wasn't released until after 1920, when the Maurice Film Company was founded. I was unable to find any mention of this film in contemporary newspapers. --MP",Maurice Film Company,,,,,,,,,,,,,,,,,,,
Festival,,,,"Box 14
Unable to verify",,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Foolish Wives,,,,"B53, F28",Famous Artist Film Company,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
From Cotton Patch to Congress,,,out (20).pdf (https://dl.airtable.com/25ugCG7kQWyD1u6bOtCs_out%20(20).pdf),"Box 53, F28, GPJ Collection

See D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Sep 23, 1922.

",Baccus Film Company,,1922,2,,Baccus,,,,George P. Johnson Negro Film Collection,,,,,,,V. Baccus,,,
Harlem Rides The Range,,,,,Hollywood Productions,,,,"Jeffrey,Brooks,Miller,Young,Williams,Brooks,Southern ,Tones",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Herbert Jeffrey, Lucius Brooks, Fournoy E. Miller, Artie Young, Spencer Williams, Clarence Brooks, Tom Southern , Four Tones",,,,
Nine Lives,,Comedy,out (21).pdf (https://dl.airtable.com/wsPAvRhHTy6vzRFBKvj9_out%20(21).pdf),"""BUTTERBEANS AND SUSIE LEAD PARADE."" The Chicago Defender (National Edition) (1921-1967), Jul 17, 1926.

Not clear that this was ever produced. --MP",Colored Motion Picture Producers of America,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Othello,,,,"According to Cripps, this film was probably never made: a Lincoln representative said that it looked like a ""swindling joint"" (85).",Delight Films,,,,,,,,,Slow Fade to Black,,,,,,,,,,
Our Colored Fighters,,,img?id=119362772&width=557&height=885&crop=1734_4019_538_871&rotation=0&brightness=0&contrast=0&invert=0&ts=1463608944&h=361b87031a114d119346d376fba4df91 (https://dl.airtable.com/ufjcPbSSgajRPS0qXZgE_img%3Fid%3D119362772%26width%3D557%26height%3D885%26crop%3D1734_4019_538_871%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463608944%26h%3D361b87031a114d119346d376fba4df91),"B53, F28. Described as a government film

Clipping- The Tennessean, 1 Dec 1918, Sun, Page 49",Downing Film Company,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Square Joe,,Drama,"clipping_5275831.pdf (https://dl.airtable.com/1V8GbHs1QWi5MthzFxoY_clipping_5275831.pdf),out(18).pdf (https://dl.airtable.com/3cAQErOzSQSgn4Cbr8ha_out(18).pdf)"," The New York Age
(New York, New York)
17 Jun 1922, Sat ' Page 6; Afro-American (1893-1988) [Baltimore, Md] 01 June 1929: 8","Eureka Film Company,E.S.&L. Colored Picture Photoplay Company,Colored Feature Photoplays",,1922,,"Jeannette,Moore,Fouchee,Slater,Johnson,Moore,Miller,Fitzgerald,Moore,Washington,Summer",Edwards,,,,Slow Fade to Black,Edwards,,,,,"Joe Jeannette, Marion Moore, Charles Fouchee, Bob Slater, John Lester Johnson, Mrs. Fred R. Moore, Fred Miller, Bobby Fitzgerald, Mrs. Eugene L. Moore, Frederica Washington, Minnie Summer",J. Harrison Edwards,,J. Harrison Edwards,
Temptation,,Drama,,,Micheaux Film Corporation,,,,"Bishop,Moses,Tucker,Rogers,Chester",,,,,Slow Fade to Black,,,,,,"Andrew S. Bishop, Ethel Moses, Lorenzo Tucker, Hilda Rogers, Slick Chester",,,,
The Assignment,,,,unable to verify - SN,,,,,Portman,Reynolds,Conrad,,,George P. Johnson Negro Film Collection,,,,,William Conrad,Eric Portman,Sheldon Reynolds,,,
The Exile,,,,"Micheax's first big venture in dramatic talking field (Pittsburg Courier, May 23, 1931); Premiered in Lafayette Theatre, New York

",,,,,"Brooks,Moore,Mahon,Cole,Morrell,Noisette,Newsome,Randol,Vernon,Cook,Holder,Heywood,Harper,DeComathiere","Micheaux,Harper",,,,George P. Johnson Negro Film Collection,,,,,,"Eunice Brooks, Charles Moore, Carl Mahon, Celeste Cole, Stanley Morrell, Katherine Noisette, Nora Newsome, George Randol, Lou Vernon, Louise Cook, Roland Holder, Don Heywood, Leonard Harper, A.B. DeComathiere","Oscar Micheaux, Leonard Harper",,,
The Lure of a Woman,Lures of a Woman,,"out (4).pdf (https://dl.airtable.com/LUW4QteCQPOWnWYzZQhn_out%20(4).pdf),out (21).pdf (https://dl.airtable.com/hnT6IiGMQPSIlxCuJPMg_out%20(21).pdf),ProQuestDocuments-2016-06-05 (12).pdf (https://dl.airtable.com/hcSrixanTaJpU8w1Mg8A_ProQuestDocuments-2016-06-05%20(12).pdf),ProQuestDocuments-2016-06-05 (14).pdf (https://dl.airtable.com/xYHrPOjRpeGYeBNRlpap_ProQuestDocuments-2016-06-05%20(14).pdf)","Discrepancies: In GPJ collection, producer as given as Progress Pictures, while Kackson (1921) gives the producer as Afro-American. Thomas (1922) lists Davis as the lead, while Jackson (1921) lists Allen as the lead. --MP

D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. 

D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. 

J.A.JACKSON'S PAGE: HERE AND THERE AMONG THE FOLKS. The Billboard (Archive: 1894-1960), Sep 10, 1921. 43.

J.A. JACKSON'S PAGE: WINSTON-SALEM. The Billboard (Archive: 1894-1960), Nov 05, 1921. 47","Progress Picture Producing Assoication,Afro-American Film Company",1921,1921,3,"Davis,Allen,Cohee",Davis,,,out (4).pdf (https://dl.airtable.com/iGn27nc3SMOVXI2I1W5T_out%20(4).pdf),"Slow Fade to Black,George P. Johnson Negro Film Collection",,,,Afro-American Film Company,,"A. Porter Davis, Charles H. Allen, Regina Cohee",A. Porter Davis,,,
The Man in Ebony ,,,,"B53, F28",T.H.B. Walker's Colored Pictures,,,3,Johnson,,,,,George P. Johnson Negro Film Collection,,,,,,Jack Johnson,,,,
The Minister's Temptation,,,,"Box 4, Bookertee Film Exchange folder, GPJ Collection --MP

Unable to Verify",Democracy Photoplay Corporation,,,5,,,,,,"George P. Johnson Negro Film Collection,Blacks in Black and White",,,,Bookertee Film Company,,,,,,
The President's Lady,,,,Unable to Verify,,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
The Scapegoat,The Scape Goat,,,Unable to verify ,Frederick Douglass Film Company,,,,,,,,,"Slow Fade to Black,Blacks in Black and White",,,,,,,,,,
The Young Don't Cry,,,,Unable to verify,,,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
What Happened in the Tunnel,,,,"no exact year, just pre-1910",,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Zircon,The Fighting Fool,,,"15-episode serial, never produced",Norman Film Manufacturing Company,,,,,,,,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White",,,,,,,,,,
Beach Ball,,,,"unable to verify - SN
also, production date (2019?)",,1919,,,,,,,,,,,,,,,,,,
Bishop of the Ozarks,,Drama,out (3).pdf (https://dl.airtable.com/9CKKe3RzyADpwq7I17Uw_out%20(3).pdf),"D. Ireland Thomas. (1922, Aug 12). Motion picture news. The Chicago Defender (National Edition) (1921-1967).

Not clear if this was ever completed. --MP",Cosmopolitan Picture Corporation,1922,,,Reed,,,,,,,,,,,George Reed,,,,
Outside Prison Walls,,"Drama,Western",out (11).pdf (https://dl.airtable.com/88qtUOgFTF6cdNqbdv8J_out%20(11).pdf),"D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Jan 20, 1923.",,1923,,,,Grimes,,,,,,,,,,,William H. Grimes,,,
Death of Our Hearts,,,out (12).pdf (https://dl.airtable.com/GWHpYY2DSaqTEOMtPj8o_out%20(12).pdf),"D. Ireland Thomas. ""Motion Picture News."" The Chicago Defender (National Edition) (1921-1967), Aug 26, 1922.",,1922,,,,,,,,,,,,,,,,,,
Afro-American News Review,,Newsreel,out (21).pdf (https://dl.airtable.com/oPBmWahTPq6OLqqswh30_out%20(21).pdf),"D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. ",,1922,1922,,,,,,,,,,,,,,,,,
The Comeback,,Boxing,out (24).pdf (https://dl.airtable.com/cn0pIM3hQuyHkDrX8nKJ_out%20(24).pdf),"D. Ireland Thomas. ""MOTION PICTURE NEWS."" The Chicago Defender (National Edition) (1921-1967), May 20, 1922. ",Leigh Whipper Film Company,1922,,,"Nolan,Ray,Fullen",,,,,,,,,,,"Kid Nolan, Ellen Ray, Louise Fullen",,,,
Fought and Won,,Drama,,"Not clear if this was ever produced. See ""J.A.JACKSON'S PAGE: KANSAS CITY FILM STARTS ACTIVITY."" The Billboard (Archive: 1894-1960) 33, no. 15 (Apr 09, 1921): 43.",Gate City Feature Film Company,1921,,5,,,,,,,,,,,,,,,,
The Jungle God,,,ProQuestDocuments-2016-06-05 (5).pdf (https://dl.airtable.com/lJntXN8ShKuuRF1wxz2L_ProQuestDocuments-2016-06-05%20(5).pdf),"Not clear if this was ever produced. See ""J.A. JACKSON'S PAGE: PHILADELPHIA JOURNAL."" The Billboard (Archive: 1894-1960) 33, no. 18 (Apr 30, 1921): 45.",Delsarte Film Corporation,1921,,,,,,,,,Graham,,,,,,,,Birdie Graham,
My First Love,,,ProQuestDocuments-2016-06-05 (9).pdf (https://dl.airtable.com/9n2WchWgRGi5Ttag9Nxh_ProQuestDocuments-2016-06-05%20(9).pdf),"Not clear if this was ever produced. On intent to produce, see ""J. A. JACKSON'S PAGE: MUSE ENTERPRISES SUCCEEDING."" The Billboard (Archive: 1894-1960) 33, no. 24 (Jun 11, 1921): 45.",Bookertee Film Company,1921,,,"Dones,Filtenberg",,,,,,,,,,,"Sidney P. Dones, Essie Filtenberg",,,,
The Fighting Fifteenth Colored Regiment,,Actuality,ProQuestDocuments-2016-06-05 (10).pdf (https://dl.airtable.com/0Tyo4OTRc6z08sOfXM9e_ProQuestDocuments-2016-06-05%20(10).pdf),"See ""J.A. JACKSON'S PAGE: ARROW MUSIC PUB. CO., INC."" The Billboard (Archive: 1894-1960) 33, no. 26 (Jun 18, 1921): 45.",Dunbar Film and Theatrical Co.,,1921,,,,,Vodery,,,,,,,,,,,,C. F. Vodery
The Negro Rice Farmer,,Actuality,ProQuestDocuments-2016-06-05 (10).pdf (https://dl.airtable.com/dMYBauQaetE06KSMgOzQ_ProQuestDocuments-2016-06-05%20(10).pdf),"See ""J.A. JACKSON'S PAGE: ARROW MUSIC PUB. CO., INC."" The Billboard (Archive: 1894-1960) 33, no. 26 (Jun 18, 1921): 45.",Dunbar Film and Theatrical Co.,,1921,,,,,,,,,,,,,,,,,
Negro Logging in Louisisana,,,ProQuestDocuments-2016-06-05 (10).pdf (https://dl.airtable.com/gc1GVWFvQp2CeZVOHnsb_ProQuestDocuments-2016-06-05%20(10).pdf),"See ""J.A. JACKSON'S PAGE: ARROW MUSIC PUB. CO., INC."" The Billboard (Archive: 1894-1960) 33, no. 26 (Jun 18, 1921): 45.",Dunbar Film and Theatrical Co.,,1921,,,,,,,,,,,,,,,,,
Reel Negro News,,Newsreel,ProQuestDocuments-2016-06-05 (17).pdf (https://dl.airtable.com/KV8CBl2JTXuJMnzXdzbC_ProQuestDocuments-2016-06-05%20(17).pdf),"Series of newsreels produced by Leigh Whipper. See J.A. JACKSON'S PAGE: HERE AND THERE AMONG THE FOLK. The Billboard (Archive: 1894-1960), Feb 18, 1922. 43",Renaissance Film Company,1921,,,,,Whipper,,,,,,,,Leigh Whipper,,,,,
